filename,store,put,wrtmp,loadg,storeg,cas,sucessors,predecessors
gcc_coreutils8.31_O2_false,1105,6589,10054,0,0,0,1381,1381
gcc_coreutils8.31_O1_ls,4107,29856,55292,0,0,0,8772,8772
gcc_coreutils8.31_O0_wc,2228,11424,19873,0,0,0,2648,2648
gcc_coreutils8.31_O2_id,1617,9906,15186,0,0,0,2342,2342
gcc_coreutils8.31_O2_csplit,5371,39510,64753,0,0,0,9934,9934
gcc_coreutils8.31_O2_groups,1307,7748,12008,0,0,0,1691,1691
gcc_coreutils8.31_O2_sync,1227,7298,11283,0,0,0,1614,1614
gcc_coreutils8.31_O1_sync,1119,6079,10451,0,0,0,1574,1574
gcc_coreutils8.31_O2_unlink,1193,6973,10623,0,0,0,1449,1449
gcc_coreutils8.31_O1_stat,2941,20234,38211,0,0,0,5853,5853
gcc_coreutils8.31_O2_b2sum,2029,13550,23029,0,0,0,3028,3028
gcc_coreutils8.31_O2_sha224sum,1794,11335,30425,0,0,0,2468,2468
gcc_coreutils8.31_O0_stty,2493,12970,23187,0,0,0,3404,3404
gcc_coreutils8.31_O1_[,1882,13097,24700,0,0,0,3656,3656
gcc_coreutils8.31_O1_id,1428,7913,13454,0,0,0,2214,2214
gcc_coreutils8.31_O1_pr,2431,15634,30998,0,0,0,4570,4570
gcc_coreutils8.31_O3_nl,7310,50919,81170,0,0,0,12011,12011
gcc_coreutils8.31_O1_sleep,1162,6224,10443,0,0,0,1540,1540
gcc_coreutils8.31_O1_rmdir,1707,10491,18398,0,0,0,2865,2865
gcc_coreutils8.31_O2_[,1895,14049,25200,0,0,0,3515,3515
gcc_coreutils8.31_O1_ln,2404,15006,25440,0,0,0,4097,4097
gcc_coreutils8.31_O3_chmod,4256,26814,40833,0,0,0,5879,5879
gcc_coreutils8.31_O3_cat,2941,16274,21217,0,0,0,2898,2898
gcc_coreutils8.31_O3_sync,2784,15303,19800,0,0,0,2658,2658
gcc_coreutils8.31_O1_printf,2065,12557,22322,0,0,0,3484,3484
gcc_coreutils8.31_O1_nproc,1140,6370,10765,0,0,0,1648,1648
gcc_coreutils8.31_O2_pinky,1523,8859,13223,0,0,0,2020,2020
gcc_coreutils8.31_O3_rm,4609,28960,41835,0,0,0,6457,6457
gcc_coreutils8.31_O3_tr,3482,20664,29107,0,0,0,4133,4133
gcc_coreutils8.31_O1_basenc,1604,9723,17908,0,0,0,2575,2575
gcc_coreutils8.31_O1_expr,4476,31404,56288,0,0,0,9167,9167
gcc_coreutils8.31_O0_[,1968,10998,20347,0,0,0,2688,2688
gcc_coreutils8.31_O0_paste,1599,7966,13569,0,0,0,1874,1874
gcc_coreutils8.31_O0_runcon,1479,7184,11940,0,0,0,1613,1613
gcc_coreutils8.31_O1_mktemp,1491,8242,14038,0,0,0,2125,2125
gcc_coreutils8.31_O1_sort,4010,26594,51428,0,0,0,7264,7264
gcc_coreutils8.31_O3_uname,2717,15023,19291,0,0,0,2571,2571
gcc_coreutils8.31_O1_whoami,1081,5675,9585,0,0,0,1395,1395
gcc_coreutils8.31_O1_fmt,1358,7930,14267,0,0,0,2119,2119
gcc_coreutils8.31_O3_stdbuf,3427,20616,29035,0,0,0,4102,4102
gcc_coreutils8.31_O3_groups,2886,15912,20588,0,0,0,2788,2788
gcc_coreutils8.31_O1_od,2527,16340,28373,0,0,0,4267,4267
gcc_coreutils8.31_O1_mkfifo,1110,6266,11284,0,0,0,1582,1582
gcc_coreutils8.31_O3_tail,4515,30138,42788,0,0,0,6667,6667
gcc_coreutils8.31_O1_shred,2066,12113,21924,0,0,0,3211,3211
gcc_coreutils8.31_O0_nproc,1565,7726,13283,0,0,0,1834,1834
gcc_coreutils8.31_O0_sha224sum,2418,12926,35147,0,0,0,2606,2606
gcc_coreutils8.31_O2_join,1862,12301,18346,0,0,0,2850,2850
gcc_coreutils8.31_O0_uniq,1991,10151,17177,0,0,0,2482,2482
gcc_coreutils8.31_O2_md5sum,1704,10677,21853,0,0,0,2423,2423
gcc_coreutils8.31_O0_timeout,1851,9146,15830,0,0,0,2203,2203
gcc_coreutils8.31_O2_mkfifo,1205,7663,12422,0,0,0,1664,1664
gcc_coreutils8.31_O0_unexpand,1684,8384,14124,0,0,0,2000,2000
gcc_coreutils8.31_O3_tee,2986,16609,21485,0,0,0,2956,2956
gcc_coreutils8.31_O2_true,1105,6598,10054,0,0,0,1381,1381
gcc_coreutils8.31_O1_logname,1073,5650,9526,0,0,0,1385,1385
gcc_coreutils8.31_O3_expr,7896,55013,90108,0,0,0,13201,13201
gcc_coreutils8.31_O1_env,1454,8485,14631,0,0,0,2401,2401
gcc_coreutils8.31_O3_realpath,3415,21412,29746,0,0,0,4140,4140
gcc_coreutils8.31_O2_basename,1178,7172,10944,0,0,0,1538,1538
gcc_coreutils8.31_O3_touch,5183,32310,53647,0,0,0,7003,7003
gcc_coreutils8.31_O2_ln,2994,19143,29502,0,0,0,4429,4429
gcc_coreutils8.31_O1_who,2032,12194,21036,0,0,0,3359,3359
gcc_coreutils8.31_O1_mknod,1211,7042,12595,0,0,0,1843,1843
